Date,Open,High,Low,Close,Volume
11-Feb-11,13.79,13.98,13.76,13.97,15359029
10-Feb-11,13.82,13.97,13.7,13.85,13139083
9-Feb-11,13.83,14,13.75,13.9,13176792
8-Feb-11,13.95,14.17,13.83,13.87,17274829
7-Feb-11,13.94,14.1,13.92,13.99,12081155
4-Feb-11,13.82,13.92,13.69,13.89,12910524
3-Feb-11,13.7,13.83,13.56,13.8,11278755
2-Feb-11,13.41,13.78,13.39,13.72,15832499
1-Feb-11,13.24,13.57,13.19,13.45,18006429
31-Jan-11,13.15,13.21,12.99,13.16,19967611
28-Jan-11,13.47,13.5,13.06,13.15,22676447
27-Jan-11,13.81,13.83,13.43,13.44,25105541
26-Jan-11,13.72,13.97,13.7,13.77,13713747
25-Jan-11,13.7,13.81,13.63,13.74,15547838
24-Jan-11,13.49,13.77,13.39,13.72,15207013
21-Jan-11,13.7,13.71,13.46,13.47,16185734
20-Jan-11,13.83,13.88,13.57,13.6,22205125
19-Jan-11,14.08,14.15,13.7,13.78,21537590
18-Jan-11,14.12,14.18,14.04,14.1,19028130
14-Jan-11,14.05,14.05,14.05,14.05,0
13-Jan-11,14.33,14.46,13.98,14.17,25589160
12-Jan-11,14.17,14.42,14.03,14.39,16548409
11-Jan-11,14.11,14.19,13.96,14.08,14988149
10-Jan-11,13.93,14.23,13.92,14.01,15106721
7-Jan-11,14.24,14.24,13.95,13.98,18862750
6-Jan-11,13.87,14.28,13.8,14.26,21923309
5-Jan-11,13.7,13.91,13.56,13.87,19500901
4-Jan-11,13.84,13.87,13.61,13.69,13918717
3-Jan-11,13.64,13.8,13.57,13.69,15678698
31-Dec-10,13.59,13.63,13.49,13.55,8352503
30-Dec-10,13.64,13.7,13.55,13.65,7789036
29-Dec-10,13.7,13.8,13.64,13.65,7630358
28-Dec-10,13.83,13.83,13.66,13.69,9468575
27-Dec-10,13.72,13.82,13.65,13.77,5573508
23-Dec-10,13.79,13.79,13.79,13.79,0
22-Dec-10,13.79,13.9,13.74,13.88,13662740
21-Dec-10,13.47,13.89,13.42,13.84,25829430
20-Dec-10,13.65,13.66,13.35,13.36,27679694
17-Dec-10,13.25,13.68,13.24,13.64,40684155
16-Dec-10,13.31,13.41,13.22,13.33,15282246
15-Dec-10,13.27,13.49,13.2,13.29,26326511
14-Dec-10,13.35,13.45,13.23,13.31,24299968
13-Dec-10,13.74,13.74,13.34,13.36,30828469
10-Dec-10,13.69,14.02,13.66,13.89,17675011
9-Dec-10,13.74,13.77,13.59,13.65,17163254
8-Dec-10,13.7,13.71,13.48,13.68,11967708
7-Dec-10,13.82,13.84,13.54,13.6,18687383
6-Dec-10,13.63,13.75,13.55,13.7,14480153
3-Dec-10,13.56,13.71,13.49,13.69,15884415
2-Dec-10,13.46,13.68,13.35,13.65,37881702
1-Dec-10,13.47,13.59,13.39,13.41,19656224
30-Nov-10,13.4,13.4,13.12,13.22,20750165
29-Nov-10,13.53,13.66,13.32,13.57,18183609
26-Nov-10,13.72,13.84,13.62,13.65,5388146
24-Nov-10,13.88,13.88,13.88,13.88,0
23-Nov-10,13.78,13.88,13.74,13.82,22660673
22-Nov-10,13.88,14.09,13.76,13.96,20908372
19-Nov-10,14.12,14.15,13.55,13.9,71459351
18-Nov-10,13.46,13.79,13.46,13.66,36813150
17-Nov-10,13.47,13.57,13.28,13.35,18496884
16-Nov-10,13.44,13.67,13.26,13.4,20197843
15-Nov-10,13.53,13.85,13.51,13.51,19729341
12-Nov-10,13.8,13.84,13.34,13.42,29109011
11-Nov-10,13.98,14.01,13.71,13.93,39786468
10-Nov-10,14.35,14.51,14.18,14.49,14301186
9-Nov-10,14.26,14.61,14.25,14.41,17166139
8-Nov-10,14.45,14.45,14.24,14.29,14420799
5-Nov-10,14.52,14.59,14.19,14.46,28480217
4-Nov-10,14.65,14.69,14.43,14.52,17237365
3-Nov-10,14.4,14.51,14.23,14.48,15056547
2-Nov-10,14.59,14.6,14.1,14.36,20066878
1-Nov-10,14.54,14.7,14.28,14.41,18325356
29-Oct-10,14.47,14.78,14.19,14.4,25605548
28-Oct-10,14.77,14.77,14.46,14.59,16432171
27-Oct-10,14.51,14.69,14.45,14.67,16312208
26-Oct-10,14.64,14.7,14.48,14.51,17469823
25-Oct-10,14.73,14.85,14.65,14.71,13180971
22-Oct-10,14.71,14.71,14.51,14.58,13761703
21-Oct-10,14.88,14.89,14.47,14.6,17300249
20-Oct-10,14.54,14.77,14.49,14.69,17508837
19-Oct-10,14.44,14.79,14.4,14.49,25135623
18-Oct-10,14.53,14.73,14.38,14.66,24205318
15-Oct-10,14.22,14.52,14.1,14.49,28182464
14-Oct-10,14.2,14.3,14.12,14.27,29510896
13-Oct-10,13.99,14.2,13.95,14.13,25951341
12-Oct-10,13.64,14.14,13.55,13.92,43002380
11-Oct-10,13.71,13.8,13.52,13.73,16233388
8-Oct-10,13.3,13.74,13.25,13.69,26694503
7-Oct-10,13.3,13.38,13.19,13.27,17875295
6-Oct-10,13.29,13.38,13.15,13.22,20712551
5-Oct-10,13.09,13.48,13.06,13.4,27420262
4-Oct-10,12.95,13,12.77,12.9,29326685
1-Oct-10,12.96,13.15,12.9,13.04,25912028
30-Sep-10,13.08,13.17,12.68,12.97,32731670
29-Sep-10,12.7,13,12.62,12.99,28835357
28-Sep-10,12.71,12.77,12.51,12.71,25025724
27-Sep-10,12.65,12.79,12.58,12.64,19962801
24-Sep-10,12.38,12.69,12.34,12.65,24294787
23-Sep-10,12.26,12.36,12.12,12.15,29439332
22-Sep-10,12.54,12.66,12.25,12.38,35999948
21-Sep-10,12.65,12.81,12.55,12.6,19767808
20-Sep-10,12.41,12.73,12.34,12.67,18307980
17-Sep-10,12.43,12.58,12.31,12.45,27718664
16-Sep-10,12.28,12.46,12.21,12.42,21144563
15-Sep-10,12.38,12.42,12.2,12.3,24259557
14-Sep-10,12.36,12.55,12.26,12.38,24515679
13-Sep-10,12.24,12.4,12.16,12.31,25357138
10-Sep-10,12.18,12.21,11.93,12.06,37108558
9-Sep-10,12.7,12.7,12.36,12.38,18600823
8-Sep-10,12.4,12.72,12.28,12.54,25924936
7-Sep-10,12.43,12.54,12.3,12.32,19613407
6-Sep-10,12.59,12.59,12.59,12.59,0
3-Sep-10,12.5,12.6,12.44,12.59,19473384
2-Sep-10,12.04,12.45,11.88,12.36,26218739
1-Sep-10,11.92,12.15,11.79,12.12,21486661
31-Aug-10,11.92,11.95,11.61,11.77,33767201
30-Aug-10,11.85,12.22,11.85,12.02,31246150
27-Aug-10,11.8,12.1,11.7,11.89,34007958
26-Aug-10,11.89,11.95,11.75,11.75,17945187
25-Aug-10,11.46,11.86,11.4,11.78,22248131
24-Aug-10,11.7,11.75,11.66,11.58,34068565
23-Aug-10,12.23,12.24,11.86,11.94,22201055
20-Aug-10,11.8,12.06,11.8,12.07,50257924
19-Aug-10,12.11,12.18,12.06,12.04,30025806
18-Aug-10,12.09,12.31,12.04,12.19,35715461
17-Aug-10,12.08,12.2,12,12.06,24060304
16-Aug-10,11.9,12.03,11.86,11.96,13141551
13-Aug-10,12.03,12.09,12.01,12.01,17641381
12-Aug-10,11.76,12.12,11.76,11.99,20853016
11-Aug-10,12.25,12.27,11.84,12.1,29880327
10-Aug-10,12.76,12.81,12.37,12.45,37344048
9-Aug-10,13.21,13.24,12.91,12.98,17950763
6-Aug-10,12.91,13.12,12.87,13.12,16292032
5-Aug-10,13.05,13.22,12.87,13.13,25334792
4-Aug-10,13.52,13.53,13.07,13.21,20385472
3-Aug-10,13.51,13.6,13.34,13.42,9123516
2-Aug-10,13.42,13.68,13.35,13.61,10405995
30-Jul-10,13.04,13.37,13.01,13.24,14130270
29-Jul-10,13.5,13.69,13.02,13.16,23633230
28-Jul-10,13.66,13.73,13.42,13.5,8625889
27-Jul-10,13.83,13.95,13.62,13.66,10701401
26-Jul-10,13.46,13.76,13.45,13.74,10234337
23-Jul-10,13.46,13.53,13.27,13.51,12947059
22-Jul-10,13.3,13.52,13.18,13.4,21163208
21-Jul-10,13.27,13.45,13.05,13.07,25929540
20-Jul-10,13.19,13.38,13.01,13.36,20822715
19-Jul-10,13.08,13.48,13.04,13.44,16382503
16-Jul-10,13.64,13.74,13.04,13.06,23227749
15-Jul-10,13.59,13.73,13.32,13.64,22906943
14-Jul-10,13.41,13.86,13.4,13.52,28858379
13-Jul-10,12.86,13.29,12.76,13.2,23360072
12-Jul-10,12.73,13.03,12.7,12.84,15055715
9-Jul-10,12.8,12.91,12.63,12.85,18855718
8-Jul-10,12.56,12.79,12.47,12.78,26123319
7-Jul-10,11.91,12.48,11.83,12.46,26439886
6-Jul-10,12.26,12.32,11.72,11.9,29040046
5-Jul-10,12.03,12.03,12.03,12.03,0
2-Jul-10,12.06,12.14,11.91,12.03,15814288
1-Jul-10,12.21,12.41,11.9,12.03,36671588
30-Jun-10,12.23,12.46,12,12.06,27344019
29-Jun-10,12.65,12.65,12.2,12.27,38501609
28-Jun-10,13.02,13.12,12.87,12.95,30359983
25-Jun-10,13.07,13.12,12.65,12.93,48794190
24-Jun-10,13.81,13.81,12.88,12.93,64912116
23-Jun-10,13.88,13.96,13.61,13.82,21411438
22-Jun-10,13.99,14.2,13.76,13.8,20189419
21-Jun-10,14.18,14.28,13.86,13.95,22607933
18-Jun-10,14.27,14.28,13.94,14.04,20564089
17-Jun-10,14.18,14.26,13.81,14.2,30126517
16-Jun-10,13.89,14.06,13.77,13.99,22661187
15-Jun-10,13.33,14.11,13.2,14,41873211
14-Jun-10,13.36,13.44,13.04,13.09,20586600
11-Jun-10,12.8,13.22,12.78,13.15,19105437
10-Jun-10,13.03,13.1,12.87,13.07,22500851
9-Jun-10,12.81,13.07,12.42,12.78,42461227
8-Jun-10,12.95,13.02,12.56,12.68,38850189
7-Jun-10,13.23,13.34,12.93,12.93,22439273
