Date,Open,High,Low,Close,Volume
11-Feb-11,613.79,625,613,624.5,2593390
10-Feb-11,613.9,617.5,611.56,616.44,2336117
9-Feb-11,616.87,619.45,612.34,616.5,1843394
8-Feb-11,614.93,619.63,614.51,618.38,1696452
7-Feb-11,610.16,618.39,609.21,614.3,1802017
4-Feb-11,610.15,611.44,606.61,610.98,1552505
3-Feb-11,609.48,611.45,606.13,610.15,1497474
2-Feb-11,611,614.34,607.53,612,1760755
1-Feb-11,604.49,613.36,603.11,611.04,2745862
31-Jan-11,603.6,604.47,595.55,600.36,2810069
28-Jan-11,619.07,620.36,599.76,600.99,4233962
27-Jan-11,617.89,619.7,613.25,616.79,2019427
26-Jan-11,620.33,622.49,615.28,616.5,2041746
25-Jan-11,608.2,620.69,606.52,619.91,3647644
24-Jan-11,607.57,612.49,601.23,611.08,4604997
21-Jan-11,639.58,641.73,611.36,611.83,8904357
20-Jan-11,632.21,634.08,623.29,626.77,5485733
19-Jan-11,642.12,642.96,629.66,631.75,3412573
18-Jan-11,626.06,641.99,625.27,639.63,3620063
14-Jan-11,624.18,624.18,624.18,624.18,0
13-Jan-11,616.97,619.67,614.16,616.69,1333947
12-Jan-11,619.35,619.35,614.77,616.87,1632698
11-Jan-11,617.71,618.8,614.5,616.01,1440991
10-Jan-11,614.8,615.39,608.56,614.21,1581069
7-Jan-11,615.91,618.25,610.13,616.44,2101270
6-Jan-11,610.68,618.43,610.05,613.5,2058176
5-Jan-11,600.07,610.33,600.05,609.07,2532225
4-Jan-11,605.62,606.18,600.12,602.12,1825499
3-Jan-11,596.48,605.59,596.48,604.35,2366286
31-Dec-10,596.74,598.42,592.03,593.97,1541459
30-Dec-10,598,601.33,597.39,598.86,989479
29-Dec-10,602,602.41,598.92,601,1019823
28-Dec-10,602.05,603.87,598.01,598.92,1064746
27-Dec-10,602.74,603.78,599.5,602.38,1208128
23-Dec-10,604.23,604.23,604.23,604.23,0
22-Dec-10,604,607,603.28,605.49,1207929
21-Dec-10,598.57,604.72,597.62,603.07,1881688
20-Dec-10,594.65,597.88,588.66,595.06,1973768
17-Dec-10,591,592.56,587.67,590.8,3089328
16-Dec-10,592.85,593.77,588.07,591.71,1596820
15-Dec-10,594.2,596.45,589.15,590.3,2168131
14-Dec-10,597.09,598.29,592.48,594.91,1643253
13-Dec-10,597.12,603,594.09,594.62,2403442
10-Dec-10,593.14,593.99,590.29,592.21,1705121
9-Dec-10,593.88,595.58,589,591.5,1868972
8-Dec-10,591.97,592.52,583.69,590.54,1757126
7-Dec-10,591.27,593,586,587.14,3047879
6-Dec-10,580.57,582,576.61,578.36,2095525
3-Dec-10,569.45,576.48,568,573,2633126
2-Dec-10,568.66,573.33,565.35,571.82,2550572
1-Dec-10,563,571.57,562.4,564.35,3757609
30-Nov-10,574.32,574.32,553.31,555.71,7117385
29-Nov-10,589.17,589.8,579.95,582.11,2859953
26-Nov-10,590.46,592.98,587,590,1311038
24-Nov-10,594.97,594.97,594.97,594.97,0
23-Nov-10,587.01,589.01,578.2,583.01,2166947
22-Nov-10,587.47,593.44,582.75,591.22,2186511
19-Nov-10,597,597.89,590.34,590.83,2298978
18-Nov-10,589,599.98,588.56,596.56,2590876
17-Nov-10,585,589.5,581.37,583.55,2442412
16-Nov-10,592.76,597.89,583.45,583.72,3308665
15-Nov-10,603.08,604,594.05,595.47,3480120
12-Nov-10,613.99,616.9,601.21,603.29,3395209
11-Nov-10,619.7,619.85,614.21,617.19,2262019
10-Nov-10,622.08,623,617.51,622.88,2499828
9-Nov-10,630,630.85,620.51,624.82,2240293
8-Nov-10,625.12,629.49,623.13,626.77,2102262
5-Nov-10,623.18,625.49,621.11,625.08,1766546
4-Nov-10,624.64,629.92,622.1,624.27,3571173
3-Nov-10,617.5,621.83,613.5,620.18,3382183
2-Nov-10,618.67,620,614.58,615.6,1999774
1-Nov-10,615.73,620.66,611.21,615,3088417
29-Oct-10,617.07,619,612.99,613.7,2281279
28-Oct-10,620.05,621,613.3,618.58,2187396
27-Oct-10,615.77,620,612.33,616.47,2242414
26-Oct-10,613.1,621.23,611.03,618.6,2513633
25-Oct-10,615.59,624.74,614.97,616.5,3158700
22-Oct-10,611.92,614.82,610.05,612.53,2256598
21-Oct-10,611.51,616,606,611.99,2923627
20-Oct-10,608.14,617.38,607.5,607.98,3526976
19-Oct-10,608.85,614.82,602.86,607.83,4591178
18-Oct-10,600.55,619.69,600.55,617.71,7109313
15-Oct-10,599.27,601.64,591.6,601.45,14824722
14-Oct-10,544.18,545.25,537.11,540.93,6634018
13-Oct-10,547,547.49,542.33,543.3,3060836
12-Oct-10,540.12,545.99,537.79,541.39,3757178
11-Oct-10,538.48,544.6,537.17,538.84,2631310
8-Oct-10,532.77,537.6,527.62,536.35,2863473
7-Oct-10,536.21,537.2,529.14,530.01,2398910
6-Oct-10,539.26,539.95,529.94,534.35,2766690
5-Oct-10,528.38,540,526.55,538.23,3507302
4-Oct-10,524.95,528.25,518.85,522.35,1940494
1-Oct-10,530,530.62,523,525.62,2226112
30-Sep-10,529.16,531.87,518.92,525.79,3244626
29-Sep-10,527.85,532.94,524.71,527.69,2173878
28-Sep-10,533.48,533.59,518.45,527.17,3654832
27-Sep-10,528.85,536.85,528.85,530.41,3107622
24-Sep-10,521.74,527.83,518.26,527.29,3363247
23-Sep-10,514.61,519.69,511.3,513.48,2317644
22-Sep-10,512.86,517.78,511.68,516,2537779
21-Sep-10,509.68,519.98,508.91,513.46,4467227
20-Sep-10,492.5,510.41,492.06,508.28,4413416
17-Sep-10,483.75,491.2,481.18,490.15,5649448
16-Sep-10,479.95,482.45,479.41,481.06,1972569
15-Sep-10,479.95,481.89,478.5,480.64,2403545
14-Sep-10,482.01,484.75,480.08,480.43,2218739
13-Sep-10,480.9,484.35,479.53,482.27,2245650
10-Sep-10,479.02,479.79,475.08,476.14,1974340
9-Sep-10,477.83,480.4,470.58,476.18,2435299
8-Sep-10,465.19,472.5,464.51,470.58,2409028
7-Sep-10,464.5,467.59,463.02,464.4,1711335
6-Sep-10,470.3,470.3,470.3,470.3,0
3-Sep-10,470.52,471.88,467.44,470.3,2545726
2-Sep-10,462.84,464.43,460.31,463.18,1685384
1-Sep-10,454.98,464.94,452.5,460.34,3237824
31-Aug-10,450.11,454.87,448,450.02,1946998
30-Aug-10,459.15,459.76,452.42,452.69,1236219
27-Aug-10,452.56,459.99,448.31,458.83,2313147
26-Aug-10,456.06,457.26,450.44,450.98,1781767
25-Aug-10,450,457.81,450,454.62,2592104
24-Aug-10,457.7,457.7,450.92,451.39,2763814
23-Aug-10,461.5,468.25,457.73,464.07,2989159
20-Aug-10,467.97,471.59,462.18,462.02,3923319
19-Aug-10,481.01,482.51,467.25,467.97,3925513
18-Aug-10,490.44,490.44,481.55,482.15,2686374
17-Aug-10,488.53,494.7,486.1,490.52,1890646
16-Aug-10,483.68,489.87,483.68,485.59,1306685
13-Aug-10,489,491.19,486.01,486.35,1940047
12-Aug-10,483.94,494.75,483.94,492.01,2205032
11-Aug-10,497.73,498,491.5,491.74,2226003
10-Aug-10,502.35,506,498.57,503.71,2075569
9-Aug-10,502.25,505.5,501.36,505.35,1873209
6-Aug-10,505.4,505.74,496.05,500.22,3321695
5-Aug-10,505.89,508.6,503.56,508.1,2426460
4-Aug-10,492.18,507,491.05,506.32,3814120
3-Aug-10,490.5,492.46,486.76,489.83,1803185
2-Aug-10,488.99,493.28,486.94,490.41,1867475
30-Jul-10,479.65,487.36,479.14,484.85,2144492
29-Jul-10,485.95,488.88,479.33,484.99,2675420
28-Jul-10,494.94,495.25,482.67,484.35,2502447
27-Jul-10,490.58,497.5,490.17,492.63,2451984
26-Jul-10,489.09,490.75,484.88,488.97,1996691
23-Jul-10,480.77,490.59,480.01,490.06,2267180
22-Jul-10,483.23,488.98,482.48,484.81,2148487
21-Jul-10,484,485.7,475.43,477.5,3285364
20-Jul-10,461.03,482.99,460.6,481.59,4056832
19-Jul-10,461.01,469.65,457.52,466.18,4549465
16-Jul-10,469.12,470.56,459.52,459.6,7824721
15-Jul-10,491.73,494.7,482.68,494.02,4858782
14-Jul-10,489.88,493.83,486.46,491.34,3118534
13-Jul-10,482.25,492.99,480.28,489.2,3976281
12-Jul-10,472.37,479.44,471.08,475.83,3334411
9-Jul-10,471.96,473.26,462.78,467.49,4332702
8-Jul-10,453.55,457.33,449.66,456.56,2670490
7-Jul-10,438.31,451.29,435.38,450.2,3131936
6-Jul-10,444,447.67,433.63,436.07,2561426
5-Jul-10,436.55,436.55,436.55,436.55,0
2-Jul-10,441.62,442.28,436,436.55,1936256
1-Jul-10,445.29,448.4,433.63,439.49,3513877
30-Jun-10,454.96,457.83,444.72,444.95,3603698
29-Jun-10,463.44,464.55,451.12,454.26,3502108
28-Jun-10,472.59,477.55,469.01,472.08,1762594
25-Jun-10,477.06,477.65,470.56,472.68,2245289
24-Jun-10,479.66,482.75,473.26,475.1,1893761
23-Jun-10,486.89,486.89,478.16,482.05,2029650
22-Jun-10,489.9,496.6,485.73,486.25,2219930
21-Jun-10,499.9,500.97,484.89,488.56,2989344
18-Jun-10,502.51,503.47,498.13,500.03,2878739
17-Jun-10,503.45,505.87,496.69,500.08,1977894
16-Jun-10,496.17,504,496.11,501.27,2291967
15-Jun-10,483.08,500.4,482.18,497.99,4261561
14-Jun-10,494.48,494.5,483.19,483.19,2040942
11-Jun-10,482.5,488.71,481.62,488.5,1784318
10-Jun-10,480.37,488.5,475.84,487.01,2585930
9-Jun-10,487.22,488.88,472,474.02,2732731
8-Jun-10,487.85,488.84,477.54,484.78,2685052
7-Jun-10,499.06,500.91,483.15,485.52,3637036
4-Jun-10,499.72,509.25,496.7,498.72,3923904
3-Jun-10,495.11,508,494.7,505.6,3651897
2-Jun-10,486.68,493.87,481.46,493.37,2540721
1-Jun-10,480.43,491.06,480.12,482.37,2666997
31-May-10,485.63,485.63,485.63,485.63,0
28-May-10,492.74,493.45,483,485.63,2894755
27-May-10,484.86,492.31,481.05,490.46,2810047
26-May-10,482.07,489.76,475,475.47,3484042
25-May-10,468.16,477.45,464.01,477.07,3021908
24-May-10,480.73,489.79,476.8,477.16,4350322
21-May-10,469.06,485,464.4,472.05,9693537
20-May-10,485.07,485.58,473.8,475.01,4917963
19-May-10,496.26,499.44,487.74,494.43,3446369
18-May-10,510,510.97,497.07,498.37,2830286
17-May-10,506.78,508.36,498.35,507.97,2796534
14-May-10,509.77,510.99,496.25,507.53,4123922
13-May-10,516.5,522,510.37,510.88,3328146
12-May-10,512.04,512.04,502,505.39,3847017
11-May-10,515.67,519.88,508.22,509.05,3295609
10-May-10,513.97,522.82,512.6,521.65,4127928
7-May-10,499.97,505.32,481.33,493.14,5093752
6-May-10,508.75,517.52,460,498.67,5000043
5-May-10,500.98,515.72,500.47,509.76,4582120
4-May-10,526.52,526.74,504.21,506.37,6078530
3-May-10,526.5,532.92,525.08,530.6,1860317
30-Apr-10,531.13,537.68,525.44,525.7,2440207
29-Apr-10,533.37,536.5,526.67,532,3058815
28-Apr-10,532.1,534.83,521.03,529.19,3409197
27-Apr-10,528.94,538.33,527.24,529.06,3844727
26-Apr-10,544.97,544.99,529.21,531.64,4373614
23-Apr-10,547.25,549.32,542.27,544.99,2089882
22-Apr-10,552,552.5,543.35,547.06,3283651
21-Apr-10,556.46,560.25,552.16,554.3,2392748
20-Apr-10,554.17,559.66,551.06,555.04,2979333
19-Apr-10,548.75,553.99,545,550.1,3895772
16-Apr-10,563,568.81,549.63,550.14,12239411
15-Apr-10,592.17,597.84,588.29,595.3,6761708
14-Apr-10,590.06,592.34,584.01,589,3403800
13-Apr-10,572.53,588.88,571.13,586.77,3912262
12-Apr-10,567.35,574,566.22,572.73,2353551
9-Apr-10,568,568.77,564,566.22,2056835
8-Apr-10,563.32,569.85,560.05,567.49,1951735
7-Apr-10,567.3,568.75,561.86,563.54,2581016
6-Apr-10,569.46,570.89,565.4,568.22,2060014
5-Apr-10,570.9,574.88,569,571.01,1902063
2-Apr-10,568.8,568.8,568.8,568.8,0
1-Apr-10,571.35,573.45,565.55,568.8,2102636
31-Mar-10,565.05,569.74,562.81,567.12,3030869
30-Mar-10,562.83,567.63,560.28,566.71,1987571
29-Mar-10,563,564.72,560.57,562.45,3105180
26-Mar-10,565.27,567.39,560.02,562.69,2696461
25-Mar-10,559.02,572,558.66,562.88,3931664
24-Mar-10,545.51,559.85,539.7,557.33,6569358
23-Mar-10,557.04,558.31,542,549,5501283
22-Mar-10,556.11,566.85,554.28,557.5,4005472
19-Mar-10,566.23,568,557.28,560,4794128
18-Mar-10,564.72,568.44,562.96,566.4,1777117
17-Mar-10,568.3,571.45,564.25,565.56,3322497
16-Mar-10,561.83,568.42,560.76,565.2,3432853
15-Mar-10,566.68,569.45,556,563.18,4656570
12-Mar-10,588.14,588.28,579.16,579.54,2756215
11-Mar-10,574.26,586.21,574.2,581.14,4235226
10-Mar-10,563.76,578.5,562.21,576.45,5659067
9-Mar-10,559.85,564.66,556.5,560.19,3177588
8-Mar-10,564.78,565.18,561.01,562.48,2386506
5-Mar-10,561.35,567.67,559.9,564.21,3913364
4-Mar-10,546.5,556.13,546.2,554.59,3184077
3-Mar-10,542.36,548.12,539.25,545.32,3090124
2-Mar-10,535.48,545.66,535.01,541.06,4357461
1-Mar-10,529.2,533.29,527.74,532.69,2238334
26-Feb-10,527.42,531.75,523.48,526.8,2049372
25-Feb-10,527.12,528.49,520,526.43,3309373
24-Feb-10,534.39,538.44,530.51,531.47,2326901
23-Feb-10,543,543.63,532.29,535.07,2874790
22-Feb-10,547.35,547.5,541,542.8,2144741
19-Feb-10,541,544.03,539.7,540.76,2555348
18-Feb-10,537.54,545.01,536.14,543.22,2339250
17-Feb-10,542,543.4,537.61,538.21,2030680
16-Feb-10,537.14,544.13,534.3,541.3,3654824
15-Feb-10,533.12,533.12,533.12,533.12,0
12-Feb-10,532.97,537.15,530.5,533.12,2280371
11-Feb-10,532.25,540.49,529.5,536.4,2411090
10-Feb-10,534.07,537.79,527.69,534.44,2675794
9-Feb-10,539.54,541.53,535.07,536.44,2828685
8-Feb-10,532.5,542,531.53,533.47,2695412
5-Feb-10,528.4,533.5,522.46,531.29,3157048
4-Feb-10,537,538,525.56,526.78,3382732
3-Feb-10,528.67,542.1,528.23,540.82,2999890
2-Feb-10,534.96,534.96,527.61,531.12,4096305
1-Feb-10,534.6,535.81,530.3,533.02,2253021
29-Jan-10,538.49,540.99,525.61,529.94,4141196
28-Jan-10,544.49,547,530.6,534.29,3231041
27-Jan-10,541.27,547.65,535.31,542.1,3965467
26-Jan-10,537.97,549.6,536.29,542.42,4356767
25-Jan-10,546.59,549.88,535.51,540,4421012
22-Jan-10,564.5,570.6,534.86,550.01,6807653
21-Jan-10,583.44,586.82,572.25,582.98,6307634
20-Jan-10,585.98,585.98,575.29,580.41,3253498
19-Jan-10,581.49,590.42,576.29,587.62,4317143
18-Jan-10,580,580,580,580,0
