Date,Open,High,Low,Close,Volume
11-Feb-11,48.39,48.81,48.24,48.64,14349064
10-Feb-11,48.46,49.39,48.15,48.54,23146947
9-Feb-11,48.06,48.94,47.99,48.94,19301463
8-Feb-11,48.09,48.24,47.76,48.14,9900080
7-Feb-11,47.71,48.42,47.61,48.14,17392382
4-Feb-11,47.28,47.52,47.08,47.43,11214027
3-Feb-11,46.77,47.48,46.46,47.32,15619054
2-Feb-11,46.45,47.05,46.43,46.89,11741595
1-Feb-11,46.08,46.6,45.9,46.52,14490651
31-Jan-11,45.41,45.72,45.13,45.69,21410297
28-Jan-11,46.66,46.69,45.36,45.51,20649618
27-Jan-11,46.98,46.98,46.58,46.74,14394086
26-Jan-11,46.96,47.28,46.57,46.88,14404159
25-Jan-11,47.76,47.83,46.88,47.08,17668031
24-Jan-11,46.69,47.59,46.66,47.55,16950456
21-Jan-11,46.95,47.64,46.83,47.23,29811382
20-Jan-11,46.08,46.79,45.76,46.78,21533171
19-Jan-11,46.23,46.48,46.08,46.32,16520558
18-Jan-11,46.14,46.42,46.08,46.34,14758342
14-Jan-11,46.25,46.25,46.25,46.25,0
13-Jan-11,45.47,45.84,45.31,45.65,13119541
12-Jan-11,45.49,45.71,45.27,45.64,14379933
11-Jan-11,45.22,46.06,45.2,45.43,24987585
10-Jan-11,44.86,45.05,44.57,44.86,12977152
7-Jan-11,44.71,45.39,44.71,45.09,22271113
6-Jan-11,44.22,44.96,44.18,44.88,19205886
5-Jan-11,43.53,44.22,43.4,44.2,19749810
4-Jan-11,43.27,43.77,43.01,43.63,19420376
3-Jan-11,42.22,43.49,42.22,42.74,19373539
31-Dec-10,42.19,42.38,41.84,42.1,7473404
30-Dec-10,42.37,42.46,42.16,42.26,6774221
29-Dec-10,42.29,42.62,42.25,42.32,8650420
28-Dec-10,41.99,42.49,41.94,42.25,10405323
27-Dec-10,41.49,41.98,41.47,41.82,6554035
23-Dec-10,41.74,41.74,41.74,41.74,0
22-Dec-10,41.72,41.82,41.4,41.48,14702190
21-Dec-10,41.76,42.1,41.74,41.91,15003308
20-Dec-10,41.73,42.1,41.72,41.89,15423663
17-Dec-10,41.95,42.19,41.68,41.96,24232872
16-Dec-10,41.13,42.01,41,41.95,22671597
15-Dec-10,41.45,41.61,41.22,41.23,13308123
14-Dec-10,41.69,41.86,41.27,41.54,14152282
13-Dec-10,42.06,42.18,41.53,41.65,25978138
10-Dec-10,42.44,42.66,42.19,42.62,16845769
9-Dec-10,42.78,42.78,42.2,42.54,16667000
8-Dec-10,42.3,42.72,42.16,42.66,12238769
7-Dec-10,43.15,43.21,42.09,42.19,22008499
6-Dec-10,42.54,43.25,42.51,42.85,11975605
3-Dec-10,42.52,43.27,42.52,43.03,17660570
2-Dec-10,42.45,43.17,42.42,43.11,16612703
1-Dec-10,42.5,42.94,42.33,42.57,20673741
30-Nov-10,41.82,42.43,41.8,41.93,23370872
29-Nov-10,42.58,42.76,42.08,42.6,20623005
26-Nov-10,43.06,43.4,43.03,43.2,9897432
24-Nov-10,43.74,43.74,43.74,43.74,0
23-Nov-10,43.98,44.44,43.11,44.19,51532638
22-Nov-10,42.95,43.29,42.15,43.25,33275353
19-Nov-10,41.77,42.54,41.7,42.49,20291334
18-Nov-10,41.14,41.86,41.03,41.69,19897226
17-Nov-10,41.78,42.12,40.77,40.97,28672318
