Date,Open,High,Low,Close,Volume
11-Feb-11,163.98,165.01,163.31,163.85,5185697
10-Feb-11,163.9,165,163.18,164.09,5737806
9-Feb-11,165.62,165.97,164.1,164.65,4635303
8-Feb-11,164.82,166.25,164.32,166.05,5615348
7-Feb-11,164.08,164.99,164.02,164.82,4932599
4-Feb-11,163.48,164.14,163.22,164,3755814
3-Feb-11,163.16,164.2,162.81,163.53,4685095
2-Feb-11,163.4,163.6,162.61,163.3,3904892
1-Feb-11,162.11,163.94,162,163.56,5834162
31-Jan-11,159.18,162,158.68,162,7197200
28-Jan-11,161.05,161.92,158.67,159.21,6725708
27-Jan-11,161.43,162.18,160.86,161.07,4879977
26-Jan-11,161.67,161.9,160.42,161.04,5353895
25-Jan-11,159.21,164.35,159,161.44,8262242
24-Jan-11,155.42,159.79,155.33,159.63,7288661
21-Jan-11,156.4,156.78,154.96,155.5,7009010
20-Jan-11,154.53,155.96,154.45,155.8,7441447
19-Jan-11,153.26,156.13,152.83,155.69,12143645
18-Jan-11,149.82,151.46,149.38,150.65,9176829
14-Jan-11,150,150,150,150,0
13-Jan-11,149.24,149.29,148.25,148.82,3445785
12-Jan-11,147.99,149.29,147.67,149.1,4091442
11-Jan-11,148.2,148.35,146.75,147.28,4164771
10-Jan-11,147.58,148.06,147.23,147.64,3633350
7-Jan-11,148.79,148.86,146.94,147.93,4136379
6-Jan-11,147.13,148.79,146.82,148.66,5032270
5-Jan-11,147.34,147.48,146.73,147.05,4659195
4-Jan-11,147.56,148.22,146.64,147.64,5060088
3-Jan-11,147.21,148.2,147.14,147.48,4604911
31-Dec-10,146.73,147.07,145.96,146.76,2969933
30-Dec-10,146.36,147.11,146.25,146.67,3039004
29-Dec-10,146,147.5,145.71,146.52,3662739
28-Dec-10,145.31,146.15,145.06,145.71,2700968
27-Dec-10,145.12,145.7,145,145.34,2314687
23-Dec-10,145.89,145.89,145.89,145.89,0
22-Dec-10,145.66,146.4,145.58,145.95,3388801
21-Dec-10,144.99,145.99,144.33,145.74,3779240
20-Dec-10,145.39,145.54,144.39,144.51,3994963
17-Dec-10,144.69,145.5,144.4,145,10026946
16-Dec-10,144.84,145.32,144.15,144.55,4178664
15-Dec-10,145.13,145.72,144.31,144.72,4447397
14-Dec-10,144.26,146.01,144.26,145.82,4804172
13-Dec-10,145.14,145.4,144.21,144.28,4741876
10-Dec-10,144.88,144.95,143.73,144.82,3503880
9-Dec-10,145.94,145.94,143.52,144.3,4406114
8-Dec-10,144.35,145.65,143.84,144.98,4962115
7-Dec-10,146.02,146.3,143.87,144.02,4830430
6-Dec-10,144.54,145.87,144.52,144.99,3321951
3-Dec-10,144.25,145.68,144.25,145.38,3710884
2-Dec-10,144.33,145.85,144.3,145.18,5375523
1-Dec-10,143.61,145.13,143.51,144.41,6826974
30-Nov-10,142.24,142.76,141.28,141.46,7676320
29-Nov-10,143.53,143.67,141.5,142.89,5040206
26-Nov-10,145.3,145.3,143.57,143.9,2081260
24-Nov-10,145.81,145.81,145.81,145.81,0
23-Nov-10,144.24,144.53,142.33,143.18,4573145
22-Nov-10,144,145.43,143.56,145.39,3730686
19-Nov-10,144.38,145.35,143.99,145.05,5015957
18-Nov-10,143.04,144.99,142.75,144.36,4238874
17-Nov-10,142.49,142.49,141.39,141.95,4787048
16-Nov-10,142.93,143.38,141.18,142.24,6350519
15-Nov-10,143.89,144.75,143.27,143.64,3828151
12-Nov-10,144.59,145.77,143.55,143.74,4732937
11-Nov-10,144.7,145.5,143.35,145.43,4752261
10-Nov-10,146.09,146.79,145.63,146.55,5175737
9-Nov-10,146.7,147.53,145.63,146.14,5701284
8-Nov-10,145.35,146.58,145.25,146.46,4459904
5-Nov-10,145.94,146.93,145.67,146.92,4996376
4-Nov-10,144.82,146.84,144.71,146.79,6626305
3-Nov-10,144.24,144.46,142.63,144.17,5182447
2-Nov-10,143.85,144.71,143.71,143.84,4626496
1-Nov-10,143.64,144.26,142.32,143.32,5676036
29-Oct-10,140.9,144,140.75,143.6,8444096
28-Oct-10,141.84,141.95,140.42,140.9,5482601
27-Oct-10,139.52,141.57,139,141.43,6467113
26-Oct-10,139.29,142,138.53,140.67,7328198
25-Oct-10,140.42,141.4,139.81,139.84,4870212
22-Oct-10,140.15,140.75,139.46,139.67,4105312
21-Oct-10,139.81,140.49,138.4,139.83,6230393
20-Oct-10,138.28,139.87,138.13,139.07,6954831
19-Oct-10,137.3,139.34,136.7,138.03,14160546
18-Oct-10,140.9,143.03,140.84,142.83,10341157
15-Oct-10,142.1,142.1,140.54,141.06,7224057
14-Oct-10,140.35,141.5,139.69,141.5,5658943
13-Oct-10,139.91,141.48,139.78,140.37,8788326
12-Oct-10,138.4,139.99,138.27,139.85,5639174
11-Oct-10,138.79,139.94,138.64,139.66,4009658
8-Oct-10,138.4,139.09,138.06,138.85,4543943
7-Oct-10,137.92,138.88,137.52,138.72,6440718
6-Oct-10,136.88,137.96,136.83,137.84,4782906
5-Oct-10,136.18,137.9,136.12,137.66,6202496
4-Oct-10,135.23,135.92,134.39,135.25,4063858
1-Oct-10,135.51,136.28,135.09,135.64,5621197
30-Sep-10,135.5,136.11,133.67,134.14,6432129
29-Sep-10,134.4,135.8,134.34,135.48,5151624
28-Sep-10,134.67,135.14,133.71,134.89,7484022
27-Sep-10,133.51,135,133.51,134.65,6155512
24-Sep-10,132.42,134.15,132.34,134.11,7122325
23-Sep-10,131.42,132.78,131.22,131.67,3898904
22-Sep-10,131.61,132.58,131.4,132.57,4922526
21-Sep-10,131.45,132.8,130.78,131.98,5268605
20-Sep-10,130.24,132.09,130.11,131.79,7214702
17-Sep-10,129.92,130.6,129.7,130.19,10397659
16-Sep-10,129.2,129.95,128.8,129.67,4685578
15-Sep-10,128.65,129.96,128.54,129.43,4762454
14-Sep-10,128.43,129.92,128.43,128.85,4851469
13-Sep-10,128.63,130,128.52,129.61,5272370
10-Sep-10,126.99,128.29,126.26,127.99,4419379
9-Sep-10,127.27,127.57,126.15,126.36,3437612
8-Sep-10,126.02,126.52,125.39,126.08,4486438
7-Sep-10,126.99,127.36,125.88,125.95,4353927
6-Sep-10,127.58,127.58,127.58,127.58,0
3-Sep-10,126.22,127.6,125.9,127.58,5144355
2-Sep-10,126.03,126.23,124.65,125.04,5104538
1-Sep-10,125.31,126.31,124.52,125.77,5624070
31-Aug-10,123.31,123.99,122.28,123.05,5659755
30-Aug-10,125.08,125.27,123.4,123.4,3603963
27-Aug-10,123.83,124.8,122.42,124.73,6214197
26-Aug-10,125.78,125.78,122.78,122.78,7748597
25-Aug-10,124.57,125.6,124,125.27,5239579
24-Aug-10,125.21,126.02,124.57,124.9,5624039
23-Aug-10,127.57,128.03,126.44,126.47,4034693
20-Aug-10,128.72,128.98,126.96,127.5,6246279
19-Aug-10,128.67,129.59,128.02,128.9,5402547
18-Aug-10,128.87,130.2,127.8,129.39,4883300
17-Aug-10,128.83,129.85,127.9,128.45,4298556
16-Aug-10,127.47,128.23,126.96,127.77,4009130
13-Aug-10,127.96,128.46,127.33,127.87,4670519
12-Aug-10,127.69,128.78,127.52,128.3,5132391
11-Aug-10,130.69,130.69,129.46,129.83,6318083
10-Aug-10,131.18,132.49,130.77,131.84,5471688
9-Aug-10,130.79,132.34,130.4,132,6135341
6-Aug-10,130.41,130.48,128.76,130.14,6137850
5-Aug-10,130.73,131.98,130.53,131.83,4523103
4-Aug-10,130.46,131.5,129.85,131.27,4573074
3-Aug-10,130.03,131.04,129.33,130.37,5091953
2-Aug-10,129.25,131.2,129.25,130.76,6437441
30-Jul-10,127.43,128.98,127.04,128.4,6025837
29-Jul-10,129.06,129.5,127.14,128.02,8997318
28-Jul-10,128.67,129.35,127.88,128.43,4252631
27-Jul-10,128.78,129.17,127.89,128.63,4648527
26-Jul-10,128.18,128.43,127.14,128.41,5172270
23-Jul-10,127.3,128.8,127,128.38,5077974
22-Jul-10,126.32,127.78,126.05,127.47,6909088
21-Jul-10,126.44,126.5,124.62,125.27,8615430
20-Jul-10,122.97,126.56,122.93,126.55,16340314
19-Jul-10,128.67,130.38,128.37,129.79,8388587
16-Jul-10,129.96,130.15,127.85,128.03,7002854
15-Jul-10,129.87,130.92,129.55,130.72,6187523
14-Jul-10,129.32,131.6,129.14,130.72,6607133
13-Jul-10,128.97,130.98,128.69,130.48,6687660
12-Jul-10,127.37,128.83,127.16,128.67,4206871
9-Jul-10,127.9,128.2,127.29,127.96,3898464
8-Jul-10,127.37,128.15,126.74,127.97,5439963
7-Jul-10,123.47,127.12,123.47,127,7090291
6-Jul-10,123.58,124.63,122.17,123.46,6348708
5-Jul-10,121.86,121.86,121.86,121.86,0
2-Jul-10,123.29,123.29,120.61,121.86,6454413
1-Jul-10,123.55,124.21,121.61,122.57,9742208
30-Jun-10,124.83,125.22,123,123.48,8017939
29-Jun-10,127.35,128.4,124.12,125.09,9378799
28-Jun-10,127.65,129.47,127.22,128.98,6335135
25-Jun-10,128.34,129.1,127.12,127.12,10420671
24-Jun-10,129.57,129.73,127.7,128.19,5565558
23-Jun-10,129.25,131.47,129.09,130.11,6855741
