Date,Open,High,Low,Close,Volume
11-Feb-11,89.44,90.49,88.91,89.06,1415142
10-Feb-11,87.65,90.05,87.5,89.8,1595116
9-Feb-11,87.77,89.34,87.3,88.59,1665188
8-Feb-11,87.69,88.37,87.48,88,2722759
7-Feb-11,88.93,90.54,88.6,88.66,1599537
4-Feb-11,88.72,89,87.39,88.5,1197255
3-Feb-11,88.83,89.64,87.12,88.53,1266083
2-Feb-11,86.79,89.55,86.46,88.82,1876300
1-Feb-11,85.93,87.51,85.76,86.71,1786462
31-Jan-11,86.37,86.37,84.65,85.52,1384336
28-Jan-11,87.2,88.36,84.12,85.79,2194082
27-Jan-11,86.03,87.95,85.74,86.34,2416313
26-Jan-11,84.43,86.2,84.37,85.56,2141760
25-Jan-11,84,85.37,82.12,84.28,9363864
24-Jan-11,90.72,90.82,87.56,87.73,6300896
21-Jan-11,90.08,91.08,89.04,90.66,3004470
20-Jan-11,88.88,89.8,85.91,89.31,3640685
19-Jan-11,96.46,97.1,92.42,92.86,2316087
18-Jan-11,96.68,97.61,96.03,96.79,1139633
14-Jan-11,97,97,97,97,0
13-Jan-11,95.41,96,94.5,95.5,2036569
12-Jan-11,96.26,96.26,94.79,95.16,1341271
11-Jan-11,96.19,96.5,94.6,95.69,1247506
10-Jan-11,93.65,96,93.65,95.7,1465849
7-Jan-11,94.5,95.44,92.68,94.79,2116919
6-Jan-11,94.49,95.1,93.26,94.54,1320106
5-Jan-11,92.39,95.4,92.14,94.41,1858890
4-Jan-11,93.44,93.78,90.55,93.17,1763497
3-Jan-11,89.5,94.19,89.5,92.97,2550250
31-Dec-10,89.92,89.92,88.23,88.91,842887
30-Dec-10,89.4,90.65,89.29,89.75,758580
29-Dec-10,90.29,90.57,89.27,89.8,778108
28-Dec-10,90.93,91.9,89.1,90.16,1310692
27-Dec-10,88.5,91.5,88.05,91.02,1653177
23-Dec-10,88.95,88.95,88.95,88.95,0
22-Dec-10,89.08,89.11,87.56,88.38,889796
21-Dec-10,88.7,89.55,88,89.12,1286096
20-Dec-10,89.53,89.53,87.3,88.69,1216865
17-Dec-10,88.27,89.47,87.9,88.7,1801158
16-Dec-10,85.99,88.4,85.63,88.01,1510417
15-Dec-10,87.35,88.49,84.62,86.12,2973504
14-Dec-10,89.48,90.28,87.43,87.57,2863571
13-Dec-10,89.31,91.95,89.11,89.58,3327606
10-Dec-10,88.14,89.08,87.86,88.8,2117028
9-Dec-10,87.92,88.89,86.94,87.83,2705402
8-Dec-10,84.57,87.85,84.53,87.76,3071418
7-Dec-10,86.4,87,84.6,84.74,2435329
6-Dec-10,85.25,86.32,84.22,86.05,2183141
3-Dec-10,83.91,85.99,83.85,85.76,2199152
2-Dec-10,84.3,85,83.8,84.83,2604510
1-Dec-10,82.54,84.74,82.36,83.96,3326715
30-Nov-10,80.04,82,79.19,81.52,2423156
29-Nov-10,80.76,81.57,79.61,81.37,2032275
26-Nov-10,81,81.75,80.26,81.12,775808
24-Nov-10,81.61,81.61,81.61,81.61,0
23-Nov-10,80.83,81.83,78.86,79.09,2318849
22-Nov-10,80.98,82.43,80.5,82.14,2247134
19-Nov-10,79.7,80.99,79.08,80.9,3205939
18-Nov-10,77.11,79.65,76.96,78.95,2701299
17-Nov-10,76.51,77.65,74.06,75.51,3290911
16-Nov-10,78.03,78.95,75.87,76.62,2482813
15-Nov-10,81.11,81.22,78.04,78.74,2798478
12-Nov-10,82.25,84.03,80.5,80.99,2064835
11-Nov-10,80.09,83.27,80,83.27,2897080
10-Nov-10,80.44,83.27,79.32,83.15,3010027
9-Nov-10,80.66,81.69,79.75,80.8,2828948
